accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
KP212938	KP212938.1	MuVi/Busan.KOR/24.08/34[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212938	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212939	KP212939.1	MuVi/Busan.KOR/25.08/35[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212939	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212940	KP212940.1	MuVi/Busan.KOR/26.08/36[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212940	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212941	KP212941.1	MuVi/Busan.KOR/31.08/40[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212941	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212942	KP212942.1	MuVi/Busan.KOR/32.08/43[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212942	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212943	KP212943.1	MuVi/Busan.KOR/33.08/45[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212943	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212944	KP212944.1	MuVi/Busan.KOR/34.08/46[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212944	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212945	KP212945.1	MuVi/Busan.KOR/35.08/50[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212945	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212946	KP212946.1	MuVi/Daegu.KOR/26.08/37[I]		2008-XX-XX	Asia	Korea	Daegu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212946	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212947	KP212947.1	MuVi/Deagu.KOR/29.08/38[I]		2008-XX-XX	Asia	Korea	Deagu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212947	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212948	KP212948.1	MuVi/Deagu.KOR/29.08/39[I]		2008-XX-XX	Asia	Korea	Deagu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212948	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212950	KP212950.1	MuVi/Deagu.KOR/32.08/42[I]		2008-XX-XX	Asia	Korea	Deagu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212950	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212951	KP212951.1	MuVi/Deagu.KOR/35.08/51[I]		2008-XX-XX	Asia	Korea	Deagu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212951	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212952	KP212952.1	MuVi/Deagu.KOR/44.08/58[I]		2008-XX-XX	Asia	Korea	Deagu		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212952	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212972	KP212972.1	MuVi/Incheon.KOR/45.08/59[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212972	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212974	KP212974.1	MuVi/Incheon.KOR/45.08/61[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212974	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212975	KP212975.1	MuVi/Incheon.KOR/46.08/62[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212975	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212976	KP212976.1	MuVi/Incheon.KOR/48.08/63[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212976	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212977	KP212977.1	MuVi/Incheon.KOR/48.08/64[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212977	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212978	KP212978.1	MuVi/Incheon.KOR/49.08/65[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212978	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212979	KP212979.1	MuVi/Incheon.KOR/49.08/66[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212979	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212980	KP212980.1	MuVi/Incheon.KOR/49.08/67[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212980	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212981	KP212981.1	MuVi/Incheon.KOR/49.08/68[I]		2008-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212981	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212982	KP212982.1	MuVi/Busan.KOR/24.08/32[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212982	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212983	KP212983.1	MuVi/Busan.KOR/24.08/33[I]		2008-XX-XX	Asia	Korea	Busan		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212983	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212989	KP212989.1	MuVi/Incheon.KOR/02.09/1[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212989	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212990	KP212990.1	MuVi/Incheon.KOR/02.09/2[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212990	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212993	KP212993.1	MuVi/Incheon.KOR/06.09/5[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212993	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212994	KP212994.1	MuVi/Incheon.KOR/06.09/6[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212994	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212995	KP212995.1	MuVi/Incheon.KOR/06.09/7[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212995	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP212996	KP212996.1	MuVi/Incheon.KOR/06.09/8[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP212996	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213000	KP213000.1	MuVi/Incheon.KOR/12.09/14[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213000	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213001	KP213001.1	MuVi/Incheon.KOR/12.09/15[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213001	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213002	KP213002.1	MuVi/Incheon.KOR/18.09/18[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213002	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213003	KP213003.1	MuVi/Incheon.KOR/21.09/17[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213003	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213005	KP213005.1	MuVi/Incheon.KOR/23.09/20[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213005	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213007	KP213007.1	MuVi/Incheon.KOR/37.09/22[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213007	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213008	KP213008.1	MuVi/Incheon.KOR/37.09/23[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213008	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213009	KP213009.1	MuVi/Incheon.KOR/37.09/24[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213009	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213010	KP213010.1	MuVi/Incheon.KOR/37.09/26[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213010	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213011	KP213011.1	MuVi/Incheon.KOR/38.09/25[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213011	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213012	KP213012.1	MuVi/Incheon.KOR/38.09/27[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213012	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213013	KP213013.1	MuVi/Incheon.KOR/38.09/28[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213013	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213014	KP213014.1	MuVi/Incheon.KOR/38.09/29[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213014	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213015	KP213015.1	MuVi/Incheon.KOR/38.09/30[I]		2009-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213015	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213038	KP213038.1	MuVi/Incheon.KOR/10.10/3[I]		2010-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213038	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213039	KP213039.1	MuVi/Incheon.KOR/10.10/4[I]		2010-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213039	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213040	KP213040.1	MuVi/Incheon.KOR/11.10/5[I]		2010-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213040	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213043	KP213043.1	MuVi/Incheon.KOR/18.10/8[I]		2010-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213043	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213046	KP213046.1	MuVi/Incheon.KOR/25.10/11[I]		2010-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213046	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213049	KP213049.1	MuVi/Incheon.KOR/50.11/12[H]		2011-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213049	Mumps virus genotype H	H	1395180	I	I	A	FALSE
KP213054	KP213054.1	MuVi/Seoul.KOR/26.11/4[I]		2011-XX-XX	Asia	Korea	Seoul		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213054	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213055	KP213055.1	MuVi/Seoul.KOR/26.11/5[I]		2011-XX-XX	Asia	Korea	Seoul		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213055	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213062	KP213062.1	MuVi/Incheon.KOR/12.11/1[I]		2011-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213062	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213063	KP213063.1	MuVi/Incheon.KOR/12.11/2[I]		2011-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213063	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213064	KP213064.1	MuVi/Incheon.KOR/12.11/3[I]		2011-XX-XX	Asia	Korea	Incheon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213064	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213065	KP213065.1	MuVi/Chungnam.KOR/28.12/17[I]		2012-XX-XX	Asia	Korea	Chungnam		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213065	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213066	KP213066.1	MuVi/Chungnam.KOR/28.12/18[I]		2012-XX-XX	Asia	Korea	Chungnam		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213066	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213067	KP213067.1	MuVi/Chungnam.KOR/28.12/19[I]		2012-XX-XX	Asia	Korea	Chungnam		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213067	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213068	KP213068.1	MuVi/Chungnam.KOR/28.12/20[I]		2012-XX-XX	Asia	Korea	Chungnam		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213068	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213069	KP213069.1	MuVi/Chungnam.KOR/28.12/22[I]		2012-XX-XX	Asia	Korea	Chungnam		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213069	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213077	KP213077.1	MuVi/Kangwon.KOR/12.12/1[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213077	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213078	KP213078.1	MuVi/Kangwon.KOR/16.12/2[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213078	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213079	KP213079.1	MuVi/Kangwon.KOR/16.12/3[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213079	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213080	KP213080.1	MuVi/Kangwon.KOR/16.12/4[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213080	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213081	KP213081.1	MuVi/Kangwon.KOR/16.12/5[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213081	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213082	KP213082.1	MuVi/Kangwon.KOR/16.12/6[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213082	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213083	KP213083.1	MuVi/Kangwon.KOR/16.12/7[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213083	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213084	KP213084.1	MuVi/Kangwon.KOR/17.12/8[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213084	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213085	KP213085.1	MuVi/Kangwon.KOR/17.12/9[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213085	Mumps virus genotype I	I	1578041	I	I	A	FALSE
KP213086	KP213086.1	MuVi/Kangwon.KOR/17.12/10[I]		2012-XX-XX	Asia	Korea	Kangwon		316	Homo sapiens		2015-02-23	2015-02-23	Kim et al.	"Kim,S.T."	"Korea National Institute of Health, Division of Respiratory Viruses, Center for Infectious Diseases."	https://www.ncbi.nlm.nih.gov/nuccore/KP213086	Mumps virus genotype I	I	1578041	I	I	A	FALSE
